caseID,caseName,Usupply,Tsupply,totalRackPowerW,expectedSupplyFlow,nLateSamples,TavgRackInlet_mean,TavgRackInlet_std,TavgRackInlet_final8000,T95RackInlet_mean,T95RackInlet_std,T95RackInlet_final8000,TmaxRackInlet_mean,TmaxRackInlet_std,TmaxRackInlet_final8000,TavgRoom_mean,TavgRoom_std,TavgRoom_final8000,T95Room_mean,T95Room_std,T95Room_final8000,TmaxRoom_mean,TmaxRoom_std,TmaxRoom_final8000,roomHotspotVolumeFraction_mean,roomHotspotVolumeFraction_std,roomHotspotVolumeFraction_final8000,rackInletHotspotFraction_mean,rackInletHotspotFraction_std,rackInletHotspotFraction_final8000,returnOutletTmassFlowAvg_mean,returnOutletTmassFlowAvg_std,returnOutletTmassFlowAvg_final8000,returnOutletOutflowFlux_mean,returnOutletOutflowFlux_std,returnOutletOutflowFlux_final8000,deltaP_supply_minus_return_mean,deltaP_supply_minus_return_std,deltaP_supply_minus_return_final8000,flowBalanceErrorPercent_mean,flowBalanceErrorPercent_std,flowBalanceErrorPercent_final8000,pressurePowerProxy_mean,pressurePowerProxy_std,pressurePowerProxy_final8000,estimatedHeatRemovedW_mean,estimatedHeatRemovedW_std,estimatedHeatRemovedW_final8000,heatBalanceErrorPercent_mean,heatBalanceErrorPercent_std,heatBalanceErrorPercent_final8000
C00,baseline,0.75,291,18000,1.08,5,302.6944655018,1.37688896217341,304.490670502,313.54242,0.638321601545816,314.1041,316.07716,1.0587986555526,316.4301,307.1230966116,0.25072759772154,307.191293715,313.5129,0.504616180874141,313.3296,318.06374,1.55352982526889,318.4192,0.01611999999998,0.00970600160312596,0.0142380952381,0.4810606060606,0.0870188638356419,0.582386363636,310.0302262938,2.08174051345571,307.606051745,1.0207081359,0.00331125924847001,1.0253627817,0.5661582333332,0.0577531812866251,0.546873263194,5.48998741666667,0.306598078562038,5.05900169444446,0.577791060003072,0.0577845773536459,0.560743490385956,23421.1977368167,2511.68193744336,20534.8362568307,30.1177652045371,13.953788541352,14.0824236490592
C01,lowSupplyVelocity,0.5,291,18000,0.72,5,311.345453106,1.58004998603315,311.549830208,321.09468,2.25378267408373,321.6323,322.87832,2.32861630738084,323.113,315.2705423364,0.507155445465864,315.081000173,321.95336,0.629196664803611,321.2457,326.4025,1.12467277907843,326.78,0.6326019047608,0.0511308735628619,0.642038095237,0.7794507575758,0.0446036800909807,0.763257575758,316.9555504724,1.7716586154856,315.397996536,0.686424592622,0.0113373120954429,0.67560857035,0.6135161916668,0.125686053864307,0.689772707639,4.66325102472223,1.57462667992263,6.16547634027779,0.421149211871316,0.0866678664448394,0.466016352874433,21505.6883000106,1826.58405241828,19879.095644264,19.4760461111702,10.1476891801015,10.4394202459111
C02,highSupplyVelocity,1,291,18000,1.44,5,297.3432549906,1.21682072950947,297.405712405,306.49236,2.06112837494418,307.7247,311.4422,1.14371826294764,310.2676,303.546123388,0.728911402778267,302.532664425,309.41572,0.890793936328718,308.6836,314.87002,2.19040243151801,311.769,0.0005085714285708,0.00102409962667135,0,0.13503787878806,0.0967494196633954,0.146306818182,305.9548099602,1.8171222600397,307.64291064,1.3623250902,0.00864351643815657,1.368109669,0.4838115275,0.0829134706026102,0.569797902083,5.39409095833334,0.600244197094206,4.99238409722223,0.659172703344142,0.113663151249655,0.779546019215668,24570.2446184445,2992.23333147461,27459.8083220657,36.5013589913586,16.6235185081923,52.554490678143
C03,warmerSupplyAir,0.75,295,18000,1.08,5,307.2310400568,0.955405915245322,305.722867566,317.91818,1.0706363654388,316.3173,319.82888,1.46969461181566,317.9343,311.7504781222,0.260867873777995,311.578176929,318.75484,0.57682381452225,317.9484,323.81244,1.0423950920836,323.3501,0.329992380952,0.0459544965707765,0.290704761905,0.5793560606062,0.0395290379033879,0.527935606061,314.2413868152,1.34218794176196,314.89564246,1.008507951928,0.00906151632057041,1.007592624,0.5401041569444,0.0607484779805328,0.621656052778,6.61963408074074,0.839029288941705,6.70438666666668,0.544609738975574,0.0602972978784,0.626376053444067,23396.8137912309,1541.18550448894,24176.3233264792,29.9822988401716,8.56214169160523,34.3129073693292
C04,highRackLoad,0.75,291,30000,1.08,5,313.481800464,2.40913126964871,315.357012595,328.96734,2.77627493649313,331.9208,332.26748,2.50941903674935,335.2823,318.3580790542,0.764424661964362,319.113060113,328.85916,1.06814034798802,330.2489,335.0555,2.312400448668,338.5703,0.6936647619036,0.0251277438342736,0.695990476189,0.689015151515,0.0399308050856734,0.700284090909,323.5224704406,2.30337253705487,320.604218897,1.04015698667,0.0066380197473067,1.04447164806,0.8275942277776,0.0887029331716041,0.790452983333,3.68916790092593,0.614631458083953,3.28966221666667,0.860368204727511,0.0866558683796509,0.825605730215762,40785.8414364332,2692.79329407272,37290.4453648596,35.9528047881106,8.97597764690907,24.301484549532
C06,worstCase_lowFlow_highLoad,0.5,291,30000,0.72,5,328.2637416476,0.919473253359842,329.286361174,342.63122,2.1133787490651,345.4881,346.12932,1.39045217896913,347.6725,332.2352737052,0.617703336144028,333.161878373,342.32734,1.09189197634199,343.257,348.6272,1.90874892927277,350.1525,0.9418952380948,0.0125502726028434,0.957752380952,0.8630681818184,0.0107158314320426,0.871685606061,336.3650873266,2.87269114479543,332.033152503,0.717487779776,0.0122926057684718,0.70077437658,0.8574709393054,0.0992975118280712,0.788096605556,1.34328570055555,0.900863699246088,2.67022547500002,0.61550983541683,0.0753076405383614,0.55227790744332,39271.3119086319,2859.77316994682,34678.5081284687,30.904373028773,9.53257723315608,15.5950270948956
C07,mitigation_highFlow_highLoad,1,291,30000,1.44,5,306.0434643466,1.70875834269188,304.834092661,321.5029,1.28371358565686,320.1558,325.36512,1.79740689522433,323.9851,311.7132231824,0.327254784499003,312.17550157,321.07486,0.68827317832384,322.1365,329.18018,1.38095505430118,329.1521,0.3636857142852,0.0322716284764199,0.40938095238,0.5105113636362,0.0663828459337481,0.47490530303,316.7655108584,0.989950277333442,315.259641463,1.3779078366,0.0140277813342379,1.391732822,0.6731139841666,0.0637805834270391,0.584382404167,4.31195579166668,0.9741514815443,3.35188736111112,0.927089825182849,0.0833269220159321,0.813304172478484,42807.0228632892,1398.38843791041,40718.1047644551,42.6900762109641,4.6612947930347,35.7270158815169
C05,overloadedRack_L2,0.75,291,23000,1.08,5,307.6388935226,1.78152676692188,309.845315814,319.7607,1.94853577975873,322.2916,321.9252,2.14044915613522,323.8857,312.2746423516,0.262070358837127,312.50679586,319.89376,0.908374351795563,320.8916,327.12128,2.31046654639275,328.8373,0.4060590476186,0.0550125594397653,0.44459047619,0.635037878788,0.0653669798667158,0.698390151515,315.5792399512,0.832011325155903,316.385395173,1.0393621268,0.0135449381229445,1.0360401671,0.7218418223612,0.0556362848068268,0.678414691667,3.76276603703705,1.25416093730968,4.07035489814816,0.750215716179921,0.0583349084330344,0.702864870517774,30801.7907692075,819.963803420133,31718.148602663,33.9208294313371,3.56506001487014,37.9049939246215
C08,overloadedRack_L2_lowFlow,0.5,291,23000,0.72,5,317.140335502,1.18593939825679,316.043517282,330.50386,0.754622324742637,329.8453,333.96564,1.13295986822128,335.1122,323.0149468114,0.480043282854367,323.062590771,332.48478,1.1472931652372,332.7773,340.17634,2.15971075331861,341.0532,0.86199047619,0.0412831750741661,0.838676190476,0.8107007575758,0.0232813034440284,0.797821969697,327.0597956614,0.761409322729743,327.272454508,0.695120866899,0.0147661682649514,0.683473935162,0.7922388538888,0.130327016436761,0.676613128472,3.45543515291668,2.05085670346547,5.07306456083335,0.552134319379729,0.101549512322972,0.46244743749903,30222.0741799171,517.926205057838,29898.2803280043,31.4003225213786,2.25185306546886,29.992523165236
C09,overloadedRack_L2_highFlow,1,291,23000,1.44,5,299.8560267708,0.877402577737828,300.508255019,313.10604,0.976132784512422,313.1202,315.78812,1.16204160510714,316.8873,306.8151158944,0.401313202136355,306.75126684,314.79604,1.09435301571294,314.5088,324.10554,1.69693486999354,323.675,0.05265142857136,0.0287432646945756,0.0437714285714,0.271875,0.0655963660255639,0.299715909091,306.5915683414,1.54599249455882,305.734589347,1.37623227518,0.0067532152129387,1.377649793,0.596640058889,0.0340213453556047,0.57255051875,4.42831422361112,0.468973278676299,4.32987548611112,0.821147797103703,0.0477167271830945,0.78877410363798,25873.5601733548,2504.6953623928,24480.7193803845,12.4937398841514,10.8899798364904,6.43791034949769
