caseID,caseName,caseDir,Usupply,Tsupply,totalRackPowerW,rack_L1_power_W,rack_L2_power_W,rack_L3_power_W,rack_R1_power_W,rack_R2_power_W,rack_R3_power_W
C00,baseline,C00,0.75,291,18000,3000,3000,3000,3000,3000,3000
C01,lowSupplyVelocity,C01,0.50,291,18000,3000,3000,3000,3000,3000,3000
C02,highSupplyVelocity,C02,1.00,291,18000,3000,3000,3000,3000,3000,3000
C03,warmerSupplyAir,C03,0.75,295,18000,3000,3000,3000,3000,3000,3000
C04,highRackLoad,C04,0.75,291,30000,5000,5000,5000,5000,5000,5000
C06,worstCase_lowFlow_highLoad,C06,0.50,291,30000,5000,5000,5000,5000,5000,5000
C07,mitigation_highFlow_highLoad,C07,1.00,291,30000,5000,5000,5000,5000,5000,5000
C05,overloadedRack_L2,C05,0.75,291,23000,3000,8000,3000,3000,3000,3000
C08,overloadedRack_L2_lowFlow,C08,0.50,291,23000,3000,8000,3000,3000,3000,3000
C09,overloadedRack_L2_highFlow,C09,1.00,291,23000,3000,8000,3000,3000,3000,3000
