caseID,caseName,T95RackInlet_mean_K,delta_T95RackInlet_vs_C00_K,rackInletHotspotFraction_mean,delta_rackRisk_vs_C00,roomHotspotVolumeFraction_mean,delta_roomHotspot_vs_C00,pressureFlowProxy_mean,delta_pressureProxy_vs_C00
C00,baseline,313.542,0.000000,0.481061,0.000000,0.016120,0.000000,0.577791,0.000000
C01,lowSupplyVelocity,321.095,7.553000,0.779451,0.298390,0.632602,0.616482,0.421149,-0.156642
C02,highSupplyVelocity,306.492,-7.050000,0.135038,-0.346023,0.000509,-0.015611,0.659173,0.081382
C03,warmerSupplyAir,317.918,4.376000,0.579356,0.098295,0.329992,0.313872,0.544610,-0.033181
C04,highRackLoad,328.967,15.4250,0.689015,0.207954,0.693665,0.677545,0.860368,0.282577
C05,overloadedRack_L2,319.761,6.219000,0.635038,0.153977,0.406059,0.389939,0.750216,0.172425
C06,worstCase_lowFlow_highLoad,342.631,29.0890,0.863068,0.382007,0.941895,0.925775,0.615510,0.037719
C07,mitigation_highFlow_highLoad,321.503,7.961000,0.510511,0.029450,0.363686,0.347566,0.927090,0.349299
C08,overloadedRack_L2_lowFlow,330.504,16.9620,0.810701,0.329640,0.861990,0.845870,0.552134,-0.025657
C09,overloadedRack_L2_highFlow,313.106,-0.436000,0.271875,-0.209186,0.052651,0.036531,0.821148,0.243357
