caseID,caseName,folder,Usupply,Tsupply,totalRackPowerW,expectedSupplyFlow,totalVolume,description,nLateSamples,lateTimeMin,lateTimeMax,TavgRackInlet_mean,TavgRackInlet_std,TavgRackInlet_min,TavgRackInlet_max,TavgRackInlet_final8000,T95RackInlet_mean,T95RackInlet_std,T95RackInlet_min,T95RackInlet_max,T95RackInlet_final8000,TmaxRackInlet_mean,TmaxRackInlet_std,TmaxRackInlet_min,TmaxRackInlet_max,TmaxRackInlet_final8000,TavgRoom_mean,TavgRoom_std,TavgRoom_min,TavgRoom_max,TavgRoom_final8000,T95Room_mean,T95Room_std,T95Room_min,T95Room_max,T95Room_final8000,TmaxRoom_mean,TmaxRoom_std,TmaxRoom_min,TmaxRoom_max,TmaxRoom_final8000,roomHotspotVolumeFraction_mean,roomHotspotVolumeFraction_std,roomHotspotVolumeFraction_min,roomHotspotVolumeFraction_max,roomHotspotVolumeFraction_final8000,rackInletHotspotFraction_mean,rackInletHotspotFraction_std,rackInletHotspotFraction_min,rackInletHotspotFraction_max,rackInletHotspotFraction_final8000,returnOutletTmassFlowAvg_mean,returnOutletTmassFlowAvg_std,returnOutletTmassFlowAvg_min,returnOutletTmassFlowAvg_max,returnOutletTmassFlowAvg_final8000,returnOutletOutflowFlux_mean,returnOutletOutflowFlux_std,returnOutletOutflowFlux_min,returnOutletOutflowFlux_max,returnOutletOutflowFlux_final8000,deltaP_supply_minus_return_mean,deltaP_supply_minus_return_std,deltaP_supply_minus_return_min,deltaP_supply_minus_return_max,deltaP_supply_minus_return_final8000,pressurePowerProxy_mean,pressurePowerProxy_std,pressurePowerProxy_min,pressurePowerProxy_max,pressurePowerProxy_final8000,flowBalanceErrorPercent_mean,flowBalanceErrorPercent_std,flowBalanceErrorPercent_min,flowBalanceErrorPercent_max,flowBalanceErrorPercent_final8000,estimatedHeatRemovedW_mean,estimatedHeatRemovedW_std,estimatedHeatRemovedW_min,estimatedHeatRemovedW_max,estimatedHeatRemovedW_final8000,heatBalanceErrorPercent_mean,heatBalanceErrorPercent_std,heatBalanceErrorPercent_min,heatBalanceErrorPercent_max,heatBalanceErrorPercent_final8000
C00,baseline,C00_baseline,0.75,291,18000,1.08,105,Reference case: six racks at 3 kW each,5,4000.000,8000.000,302.694,1.376889,300.662,304.491,304.491,313.542,0.638322,312.498,314.104,314.104,316.077,1.058799,314.453,317.328,316.430,307.123,0.250728,306.916,307.532,307.191,313.513,0.504616,312.747,314.025,313.330,318.064,1.553530,315.645,319.387,318.419,0.016120,0.009706,0.001162,0.026467,0.014238,0.481061,0.087019,0.348485,0.582386,0.582386,310.030,2.081741,307.606,312.461,307.606,1.020708,0.003311,1.017945,1.025363,1.025363,0.566158,0.057753,0.506287,0.655780,0.546873,0.577791,0.057785,0.517963,0.667548,0.560743,5.489988,0.306598,5.059002,5.745879,5.059002,23421.198,2511.682,20534.836,26363.215,20534.836,30.1177,13.9538,14.0824,46.4623,14.0824
C01,lowSupplyVelocity,C01_lowSupplyVelocity,0.50,291,18000,0.72,105,Lower supply velocity with baseline heat load,5,4000.000,8000.000,311.345,1.580050,309.098,313.159,311.550,321.095,2.253783,318.693,324.125,321.632,322.878,2.328616,320.355,325.586,323.113,315.271,0.507155,314.624,316.020,315.081,321.953,0.629197,321.246,322.798,321.246,326.402,1.124673,324.789,327.880,326.780,0.632602,0.051131,0.548476,0.688162,0.642038,0.779451,0.044604,0.719697,0.842803,0.763258,316.956,1.771659,315.398,319.395,315.398,0.686425,0.011337,0.675609,0.703819,0.675609,0.613516,0.125686,0.468948,0.788225,0.689773,0.421149,0.086668,0.320803,0.544373,0.466016,4.663251,1.574627,2.247330,6.165476,6.165476,21505.688,1826.584,19879.096,24101.611,19879.096,19.4760,10.1477,10.4394,33.8978,10.4394
C02,highSupplyVelocity,C02_highSupplyVelocity,1.00,291,18000,1.44,105,Higher supply velocity with baseline heat load,5,4000.000,8000.000,297.343,1.216821,296.102,298.697,297.406,306.492,2.061128,304.003,308.222,307.725,311.442,1.143718,310.268,313.092,310.268,303.546,0.728911,302.533,304.212,302.533,309.416,0.890794,308.582,310.511,308.684,314.870,2.190402,311.769,317.863,311.769,0.000509,0.001024,0.000000,0.002333,0.000000,0.135038,0.096749,0.032670,0.232955,0.146307,305.955,1.817122,303.645,307.725,307.643,1.362325,0.008644,1.349901,1.369925,1.368110,0.483812,0.082913,0.377205,0.569798,0.569798,0.659173,0.113663,0.516743,0.779546,0.779546,5.394091,0.600244,4.866292,6.256883,4.992384,24570.245,2992.233,20891.915,27459.808,27459.808,36.5014,16.6235,16.0662,52.5545,52.5545
C03,warmerSupplyAir,C03_warmerSupplyAir,0.75,295,18000,1.08,105,Warmer supply air temperature with baseline heat load,5,4000.000,8000.000,307.231,0.955406,305.723,308.274,305.723,317.918,1.070636,316.317,319.181,316.317,319.829,1.469695,317.934,322.009,317.934,311.750,0.260868,311.495,312.155,311.578,318.755,0.576824,317.948,319.374,317.948,323.812,1.042395,322.371,325.160,323.350,0.329992,0.045954,0.290705,0.406124,0.290705,0.579356,0.039529,0.527936,0.638731,0.527936,314.241,1.342188,312.036,315.532,314.896,1.008508,0.009062,1.000164,1.022310,1.007593,0.540104,0.060748,0.481433,0.621656,0.621656,0.544610,0.060297,0.481512,0.626376,0.626376,6.619634,0.839029,5.341698,7.392254,6.704387,23396.814,1541.186,20783.366,24784.046,24176.323,29.9823,8.562152,15.4631,37.6891,34.3129
C04,highRackLoad,C04_highRackLoad,0.75,291,30000,1.08,105,All racks increased to 5 kW each,5,4000.000,8000.000,313.482,2.409131,310.817,315.558,315.357,328.967,2.776275,325.140,331.921,331.921,332.267,2.509419,329.588,335.282,335.282,318.358,0.764425,317.542,319.233,319.113,328.859,1.068140,327.472,330.249,330.249,335.055,2.312400,332.669,338.570,338.570,0.693665,0.025128,0.667467,0.730981,0.695990,0.689015,0.039931,0.637784,0.734848,0.700284,323.522,2.303373,320.604,325.949,320.604,1.040157,0.006638,1.030001,1.045989,1.044472,0.827594,0.088703,0.734168,0.947251,0.790453,0.860368,0.086656,0.767932,0.975669,0.825606,3.689168,0.614631,3.149139,4.629567,3.289662,40785.841,2692.793,37290.445,43413.054,37290.445,35.9528,8.975969,24.3015,44.7102,24.3015
C05,overloadedRack_L2,C05_overloadedRack_L2,0.75,291,23000,1.08,105,Rack L2 overloaded to 8 kW; others 3 kW,5,4000.000,8000.000,307.639,1.781527,305.133,309.845,309.845,319.761,1.948536,317.901,322.292,322.292,321.925,2.140449,320.047,324.546,323.886,312.275,0.262070,311.913,312.507,312.507,319.894,0.908374,318.823,320.892,320.892,327.121,2.310467,323.322,329.087,328.837,0.406059,0.055013,0.334295,0.451924,0.444590,0.635038,0.065367,0.530777,0.698390,0.698390,315.579,0.832011,314.482,316.385,316.385,1.039362,0.013545,1.017131,1.050254,1.036040,0.721842,0.055636,0.678415,0.808505,0.678415,0.750216,0.058335,0.702865,0.847160,0.702865,3.762766,1.254161,2.754274,5.821199,4.070355,30801.791,819.964,29673.011,31718.149,31718.149,33.9208,3.565062,29.0131,37.9050,37.9050
C06,worstCase_lowFlow_highLoad,C06_worstCase_lowFlow_highLoad,0.50,291,30000,0.72,105,Low flow with all racks at 5 kW,5,4000.000,8000.000,328.264,0.919473,327.434,329.286,329.286,342.631,2.113379,339.699,345.488,345.488,346.129,1.390452,343.914,347.673,347.673,332.235,0.617703,331.506,333.162,333.162,342.327,1.091892,341.392,343.749,343.257,348.627,1.908749,345.304,350.152,350.152,0.941895,0.012550,0.924029,0.957752,0.957752,0.863068,0.010716,0.847064,0.873580,0.871686,336.365,2.872691,332.033,339.009,332.033,0.717488,0.012293,0.700774,0.730001,0.700774,0.857471,0.099298,0.755768,0.988551,0.788097,0.615510,0.075307,0.551711,0.713568,0.552278,1.343286,0.900863,0.254528,2.670225,2.670225,39271.312,2859.773,34678.508,42038.602,34678.508,30.9044,9.532596,15.5950,40.1287,15.5950
C07,mitigation_highFlow_highLoad,C07_mitigation_highFlow_highLoad,1.00,291,30000,1.44,105,High flow mitigation for all racks at 5 kW,5,4000.000,8000.000,306.043,1.708758,304.477,308.827,304.834,321.503,1.283714,320.156,323.481,320.156,325.365,1.797407,323.157,327.515,323.985,311.713,0.327255,311.333,312.176,312.176,321.075,0.688273,320.352,322.137,322.137,329.180,1.380955,327.523,330.818,329.152,0.363686,0.032272,0.329876,0.409381,0.409381,0.510511,0.066383,0.431818,0.610795,0.474905,316.766,0.989950,315.260,317.691,315.260,1.377908,0.014028,1.355152,1.391733,1.391733,0.673114,0.063781,0.584382,0.740424,0.584382,0.927090,0.083327,0.813304,1.026253,0.813304,4.311956,0.974152,3.351887,5.892219,3.351887,42807.023,1398.388,40718.105,44343.417,40718.105,42.6901,4.661311,35.7270,47.8114,35.7270
C08,overloadedRack_L2_lowFlow,C08_overloadedRack_L2_lowFlow,0.50,291,23000,0.72,105,Overloaded L2 with low supply velocity,5,4000.000,8000.000,317.140,1.185939,315.839,318.586,316.044,330.504,0.754622,329.834,331.680,329.845,333.966,1.132960,332.923,335.226,335.112,323.015,0.480043,322.390,323.566,323.063,332.485,1.147293,331.329,334.318,332.777,340.176,2.159711,337.743,342.084,341.053,0.861990,0.041283,0.806790,0.913486,0.838676,0.810701,0.023281,0.780303,0.834754,0.797822,327.060,0.761409,325.731,327.648,327.272,0.695121,0.014766,0.676396,0.710399,0.683474,0.792239,0.130327,0.654349,0.973263,0.676613,0.552134,0.101550,0.442599,0.691405,0.462447,3.455435,2.050857,1.333478,6.056094,5.073065,30222.074,517.927,29755.763,30880.873,29898.280,31.4003,2.251869,29.3729,34.2647,29.9925
C09,overloadedRack_L2_highFlow,C09_overloadedRack_L2_highFlow,1.00,291,23000,1.44,105,Overloaded L2 with high supply velocity,5,4000.000,8000.000,299.856,0.877403,298.498,300.508,300.508,313.106,0.976133,312.358,314.768,313.120,315.788,1.162042,314.761,317.204,316.887,306.815,0.401313,306.324,307.436,306.751,314.796,1.094353,313.487,316.379,314.509,324.106,1.696935,322.808,327.035,323.675,0.052651,0.028743,0.023714,0.099629,0.043771,0.271875,0.065596,0.170928,0.349905,0.299716,306.592,1.545992,305.346,308.970,305.735,1.376232,0.006753,1.366902,1.383355,1.377650,0.596640,0.034021,0.557401,0.639035,0.572551,0.821148,0.047717,0.764769,0.884013,0.788774,4.428314,0.468974,3.933674,5.076249,4.329875,25873.560,2504.695,23738.023,29623.050,24480.719,12.4937,10.8900,3.208794,28.7959,6.437910
